School District,Appointed or Elected,Drop Out Rates
Aberdeen School District,Appointed,10.6
Alcorn School District,Elected,11
Amite County School District,Elected,22.4
Amory School District,Appointed,15.5
Attala County School District,Elected,
Baldwyn School District,Appointed,10.9
Bay St. Louis School District,Appointed,
Benoit School District,Appointed,
Benton County School District,Elected,10
Biloxi Public School District,Appointed,9.8
Booneville School District,Appointed,
Brookhaven School District,Appointed,23.8
Calhoun County School District,Elected,9.6
Canton Public School District,Appointed,17.8
Carroll County School District,Elected,9.8
Chickasaw County School District,Elected,12.9
Choctaw County School District,Elected,11.7
Claiborne County School District,Elected,
Clarksdale Municipal School District,Appointed,35
Clay County School District,Elected,
Cleveland School District,Appointed,20.7
Clinton Public School District,Appointed,8.2
Coahoma County School District,Elected,23.4
Coffeeville School District,Appointed,18.1
Columbia School District,Appointed,6
Columbus Municipal School District,Appointed,18.2
Copiah County School District,Elected,13.7
Corinth School District,Appointed,
Covington County School District,Elected,15.2
DeSoto County School District,Elected,6.7
Drew School District,Appointed,19
Durant Public School District,Appointed,22.5
East Jasper School District,Appointed,15.6
East Tallahatchie School District,Appointed,18.7
Enterprise School District,Appointed,
Forest Municipal School District,Appointed,18.9
Forrest County Schools,Elected,11.8
Franklin County School District,Elected,
George County School District,Elected,10.2
Greene County School District,Elected,7.6
Greenville Public School District,Appointed,38.7
Greenwood Public School District,Appointed,18.9
Grenada School District,Appointed,11.5
Gulfport School District,Appointed,13.8
Hancock County School District,Elected,7
Harrison County School District,Elected,14.6
Hattiesburg Public School District,Appointed,17.2
Hazlehurst City School District,Appointed,16.9
Hinds County School District,Appointed,11.6
Hollandale School District,Appointed,11.9
Holly Springs School District,Appointed,7.2
Holmes County School District,Elected,21
Houston School District,Appointed,13
Humphreys County School District,Elected,9.3
Indianola School District,Appointed,26.6
Itawamba County School District,Elected,8.7
Jackson County School District,Elected,9.7
Jackson Public School District,Appointed,23
Jefferson County School District,Elected,10.8
Jefferson Davis County School District,Elected,20.1
Jones County School District,Elected,10.5
Kemper County School District,Elected,27.4
Kosciusko School District,Elected,6.8
Lafayette County School District,Appointed,12.8
Lamar County School District,Elected,6.2
Lauderdale County School District,Elected,13.4
Laurel School District,Appointed,33.2
Lawrence County School District,Elected,12.7
Leake County School District,Elected,11.8
Lee County School District,Elected,19
Leflore County School District,Elected,13.2
Leland School District,Appointed,13.4
Lincoln County School District,Elected,15
Long Beach School District,Appointed,
Louisville Municipal School District,Appointed,19.8
Lowndes County School District,Elected,9.1
Lumberton Public School District,Appointed,22.3
Madison County School District,Elected,6.6
Marion County School District,Elected,18.5
Marshall County School District,Elected,16.7
McComb School District,Appointed,30.9
Meridian Public School District,Appointed,32
Monroe County School District,Elected,
Montgomery County School District,Elected,18.7
Moss Point School District,Appointed,24.9
Mound Bayou Public School,Appointed,11.5
Natchez-Adams School District,Appointed,25.7
Neshoba County School District,Elected,6.4
Nettleton School District,Appointed,20.9
New Albany Public Schools,Appointed,9.4
Newton County School District,Elected,8.6
Newton Municipal School,Appointed,
North Bolivar School District,Appointed,14
North Panola School District,Appointed,28.8
North Pike School District,Appointed,25
North Tippah School District,Appointed,
Noxubee County School District,Elected,22
Ocean Springs School District,Appointed,9.5
Okolona Separate School District,Appointed,9.4
Oktibbeha County School District,Elected,16.8
Oxford School District,Appointed,6.5
Pascagoula Separate School District,Elected,13.4
Pass Christian Public School District,Elected,7
Pearl Public School District,Appointed,6.1
Pearl River County School District,Elected,11.5
Perry County Schools,Elected,16.3
Petal School District,Appointed,8.7
Philadelphia Public School District,Appointed,
Picayune School District,Appointed,10.1
Pontotoc City Schools,Elected,6.2
Pontotoc County Schools,Appointed,
Poplarville Separate School District,Appointed,7.3
Prentiss County School District,Elected,7
Quitman County School District,Elected,12.1
Quitman School District,Appointed,6.8
Rankin County School District,Elected,8.7
Richton School District,Appointed,24.5
Scott County School District,Elected,10.8
Senatobia Municipal School District,Appointed,
Shaw School District,Appointed,12.9
Simpson County School District,Elected,9.8
Smith County School District,Elected,12.6
South Delta School District,Appointed,14.3
South Panola School District,Appointed,12.1
South Pike School District,Appointed,12.5
South Tippah School District,Appointed,8.4
Starkville School District,Appointed,15.3
Stone County School District,Elected,11.3
Sunflower County School District,Elected,11.9
Tate County School District,Elected,16.7
Tishomingo County Schools,Appointed,
Tunica County School District,Elected,26.1
Tupelo Public School District,Appointed,10.6
Union County School District,Elected,
Union Public School District,Appointed,
Vicksburg Warren School District,Appointed,23.7
Walthall County School District,Elected,13.1
Water Valley School District,Appointed,21
Wayne County School District,Elected,9.2
Webster County School District,Elected,
West Bolivar School District,Appointed,6.6
West Jasper School District,Appointed,
West Point School District,Appointed,14.5
West Tallahatchie School,Appointed,19.7
Western Line School District,Appointed,21.4
Wilkinson County School District,Elected,27.6
Winona Separate School District,Appointed,15.2
Yazoo City Municipal School District,Appointed,26.8
Yazoo County School District,Elected,23.2
,,
