"","Enrolled100s","CompositeScore","PovertyPct","GradRate","StudentTeacherRatio","Algebra","Biology","History","English"
"2",34.14,659,25,75.5,14.4,659,654,649,653
"3",10.64,655,39,59,13.84,655,650,645,650
"5",11.31,652,37,69,13.56,652,651,648,651
"9",12.34,659,36,65.5,15,659,654,649,650
"13",25.82,652,27,74,18.49,652,651,647,652
"15",10.15,658,27,72,14.55,658,651,646,651
"16",5.15,654,31,71,15.6,654,654,644,649
"17",14.25,655,32,72,12.63,655,653,647,650
"18",16.19,653,50,85,15.71,653,642,644,643
"21",2.44,648,44,72,13.63,648,645,638,641
"22",2.44,648,44,51.5,13.63,648,645,638,641
"25",27.97,655,36,72,17.5,655,649,647,648
"26",29.57,655.5,34,70,15.19,657,650,645,648
"34",24.17,658,36,69,14.48,658,659,652,654
"36",5.88,653,36,60,14.48,653,655,651,651
"37",14.51,653,28,88.5,14,653,653,646,653
"38",41.26,653,26,68.5,15.25,653,653,648,650
"39",21.09,658,24,90.5,14.62,658,656,646,653
"43",45.44,661,27,83.5,15.89,661,659,653,656
"44",141.68,656,28,76,16.77,656,656,651,653
"51",29.74,652,54,68.5,15.75,652,648,647,648
"53",17.59,652,56,76,17.23,652,650,647,644
"55",35.29,660,24,76,14.87,662,656,650,652
"56",94.11,659,18,76.5,15.43,659,658,650,653
"58",13.25,655,46,78,13.62,655,647,642,647
"60",15.69,655,42,70,13.62,655,647,645,645
"62",85.62,656,31,79.5,16.25,656,653,651,651
"63",11.61,650,34,72,14.62,650,645,642,646
"64",23.4,656,34,79,16.83,656,657,653,652
"66",67.87,658,25,73,15.65,658,655,648,654
"68",21.99,656.5,30,70,13.16,658,651,650,650
"69",29.48,651,34,72.5,15.46,651,650,646,648
"70",72.36,655.5,29,66.5,15.21,656,653,648,651
"71",27.21,652,53,63,14.94,652,647,643,647
"73",31.42,655.5,21,76.5,15.94,655,653,648,651
"76",50.96,654,24,74,14.32,654,651,650,652
"78",125.48,657.5,12,84,15.97,659,658,652,655
"79",21.45,655,36,75.5,14.26,656,650,648,649
"80",34.45,654,33,77,16.39,654,652,646,649
"83",23,655,21,81.5,14.6,654,654,649,652
"84",3.1,650,32,64.5,10.82,650,644,644,649
"88",33.35,655,28,87,17.49,656,654,649,652
"91",18.59,652,30,85,13.68,652,648,648,651
"97",18.05,649,45,71,14.54,647,647,644,646
"100",8.56,652,42,61,12.48,650,647,644,644
"103",19.63,665,20,89,13.15,665,653,654,654
"105",30.63,657,31,77,16.21,657,655,650,652
"106",11.89,652,34,73.5,13.7,652,649,646,650
"110",23.1,655,27,74.5,14.6,655,654,649,654
"115",23.8,659,26,80,11.8,659,654,651,653
"116",12.23,653,53,74.5,14.46,653,648,644,648
"118",193.82,655,16,83,14.77,655,653,652,652
"120",40.13,656.5,34,76,16.72,655,651,650,650
"123",41.32,649,34,77.5,15.57,649,646,646,646
"124",28.13,656,29,76,15.65,656,652,652,652
"130",27.09,655,26,77.5,14.78,655,652,651,653
"131",20.14,649,53,54.5,13.26,649,644,638,641
"132",29.11,655,25,69.5,16.86,655,652,646,650
"134",23.96,652,47,57,13.71,652,655,643,645
"136",28.39,658,22,81.5,15.67,658,655,651,658
"139",21.5,652,39,64,15.31,652,648,647,648
"141",34.53,656,32,71,16.46,656,649,648,648
"142",18.99,660,28,87,15.34,660,659,650,656
"148",12.87,657,42,61,14.02,657,644,644,646
"151",16.96,656,38,69,15.27,656,652,650,651
